Class,Precision,Recall,F1-Score
0,0.30666666666666664,0.2987012987012987,0.3026315789473684
1,0.6455026455026455,0.6703296703296703,0.6576819407008087
2,0.6581632653061225,0.712707182320442,0.6843501326259946
3,0.8742857142857143,0.6623376623376623,0.7536945812807881
4,0.7377049180327869,0.7988165680473372,0.7670454545454546
5,0.6923076923076923,0.7875,0.7368421052631579
Macro Avg,0.6524384836836047,0.6550653969560684,0.6503742988939287
Micro Avg,0.688,0.688,0.688
Weighted Avg,0.6976237277519947,0.688,0.6884969857279486
